教学阶段基础：“Hello Word”,,,,,,蓝色已经整理，红色是不太清楚
洛谷题号,题目名称,内容范畴,难度,具体考察点描述,备注,,
B2002,"Hello,World!",一：编程模板,T0（上课必做）,字符串常量的输出,,,
B2003,输出第二个整数,二：整型与浮点型,T0（上课必做）,变量的输入和输出,,,
B3648,你几岁了,一：编程模板(简单输入/出),T0,变量+常量的输入和输出,,,
B2005,字符三角形,三：字符型与保留小数,T0,打印图形（简单）,,,
B2025,输出字符菱形,一：编程模板,T0（上课必做）,打印图形（简单）,,,
U190925,打印字母菱形,一：编程模板,T0（上课必做）,打印图形（简单）,,,
B2008,计算 (a+b)×c 的值,二：整型与浮点型,T0,简单公式计算,,,
P5703,苹果采购,二：整型与浮点型,T0,简单情景计算,,,
P3954,成绩,二：整型与浮点型,T0,简单情景计算,NOIP2017普及组,,
B2017,打印 ASCII 码,三：字符型与保留小数,T0,char和int的转换,,,
B2019,整型与布尔型的转换,类型转换,T0,bool和int的转换,,,
B2010,带余除法,类型转换,T0,float和int的转换，实现向0取整,,,
B3952,小杨买书,类型转换,T0,float和int的转换，实现向0取整,GESP202403一级,,
B3657,公园门票,类型转换,T0,float和int的转换，实现向0取整,,,
B4034,小杨购物,类型转换,T0,float和int的转换，实现向0取整,GESP202409一级,,
B2037,奇偶数判断,简单分支结构,T0,单分支。不需要逻辑符号,,,
B3863,买文具,简单分支结构,T0,单分支。不需要逻辑符号,GESP202309一级,,
P5713,洛谷团队系统,简单分支结构,T0,单分支。不需要逻辑符号,,,
B2035,判断数正负,简单分支结构,T0,多分支。不需要逻辑符号,,,
B2052,简单计算器,简单分支结构,T0,多分支。不需要逻辑符号,,,
B2045,晶晶赴约会,简单分支结构,T0,逻辑运算符的使用。或者的使用,,,
B2041,收集瓶盖赢大奖,简单分支结构,T0,逻辑运算符的使用。或者的使用,,,
P5712,Apples,简单分支结构,T0,逻辑运算符的使用。或者的使用,,,
P5714,肥胖问题,简单分支结构,T0,逻辑运算符的使用。并且的使用,,,
B2040,判断是否为两位数,简单分支结构,T0,逻辑运算符的使用。并且的使用,,,
B2042,判断一个数能否同时被 3 和 5 整除,简单分支结构,T0,逻辑运算符的使用。并且的使用,,,
B2051,点和正方形的关系,简单分支结构,T0,逻辑运算符的使用。并且的使用,,,
P5710,数的性质,简单分支结构,T0,逻辑运算符的使用。并且/或者/异或的使用,,,
B2043,判断能否被 3，5，7 整除,简单分支结构,T0,并列的if和if-else if的区别，情况的分类讨论,,,
B2049,最大数输出,简单分支结构,T0,并列的if和if-else if的区别，情况的分类讨论,,,
